150	Dietary Supplement/Medications/Remedy	festal	Lead	Unknown	ppm	Aventis	Unknown	GEORGIA	05/04/2011	A	NA
151	Food-Spice	utskho	Lead	34	ppm	Unknown	Unknown	GEORGIA	05/04/2011	A	YES
152	Food-Spice	kondari	Lead	6.6	ppm	Unknown	Unknown	GEORGIA	05/04/2011	A	YES
153	Food-Spice	svanuri salt	Lead	35	ppm	Unknown	GEORGIA	GEORGIA	05/04/2011	A	YES
154	Food-Spice	khmeli spice medley	Lead	13	ppm	Unknown	GEORGIA	GEORGIA	05/04/2011	A	YES
155	Dietary Supplement/Medications/Remedy	multivitamin	Lead	Unknown	ppm	Unknown	GEORGIA	GEORGIA	05/04/2011	A	NA
156	Cosmetics	ruby rose deluxe makeup kit	Lead	11	ppm	Ruby Rose Cosmetique S.A.R.L.	GEORGIA	GEORGIA	05/04/2011	A	YES
157	Cosmetics	face powder	Lead	2.1	ppm	Unknown	GEORGIA	GEORGIA	05/04/2011	A	NO
158	Cosmetics	lipstick	Lead	Unknown	ppm	Unknown	GEORGIA	GEORGIA	05/04/2011	A	NA
159	Food-Spice	chili pepper	Lead	6.2	ppm	Unknown	GEORGIA	GEORGIA	05/04/2011	A	YES
160	Food-Spice	georgian spice	Lead	30	ppm	Unknown	GEORGIA	GEORGIA	05/04/2011	A	YES
161	Food-Spice	coriander powder	Lead	20	ppm	Unknown	GEORGIA	GEORGIA	05/04/2011	A	YES
162	Food-Spice	georgian salt	Lead	43	ppm	Unknown	GEORGIA	GEORGIA	05/04/2011	A	YES
163	Food-Spice	chili pepper	Lead	9.9	ppm	Unknown	GEORGIA	GEORGIA	05/04/2011	A	YES
164	Food-Spice	georgian spice	Lead	1700	ppm	Unknown	GEORGIA	GEORGIA	05/04/2011	A	YES
165	Food-Spice	georgian spice	Lead	11000	ppm	Unknown	GEORGIA	GEORGIA	05/04/2011	A	YES
166	Food-Spice	georgian spice	Lead	2500	ppm	Unknown	GEORGIA	GEORGIA	05/04/2011	A	YES
167	Food-Spice	turmeric powder	Lead	4.7	ppm	Shad USA	BANGLADESH	UNITED STATES	05/05/2011	S	YES
168	Food-Spice	turmeric powder	Lead	Unknown	ppm	Shad	BANGLADESH	UNITED STATES	05/05/2011	S	NA
169	Cosmetics	surma	Lead	440000	ppm	Unknown	MOROCCO	MOROCCO	05/05/2011	C	YES
170	Toys/Children's Products	chalk	Lead	3	ppm	Unknown	Unknown	UNITED STATES	05/17/2011	C	NO
171	Jewelry	jewelry	Lead	15	ppm	Unknown	Unknown	UNITED STATES	05/17/2011	C	NO
172	Jewelry	jewelry	Lead	7.5	ppm	Purchase Name	Unknown	UNITED STATES	05/17/2011	C	NO
173	Jewelry	jewelry	Lead	830000	ppm	Unknown	Unknown	Unknown	05/17/2011	C	YES
174	Dietary Supplement/Medications/Remedy	mahasudarshan	Arsenic	2	ppm	Shree Baidyanath Ayurved	INDIA	UNITED STATES	05/17/2011	S	YES
175	Dietary Supplement/Medications/Remedy	mahasudarshan	Lead	7.7	ppm	Shree Baidyanath Ayurved	INDIA	UNITED STATES	05/17/2011	S	YES
176	Dietary Supplement/Medications/Remedy	mahasudarshan	Mercury	2.2	ppm	Shree Baidyanath Ayurved	INDIA	UNITED STATES	05/17/2011	S	YES
177	Dietary Supplement/Medications/Remedy	dehshuddhi	Arsenic	Unknown	ppm	Amit Pharmacy	INDIA	UNITED STATES	05/17/2011	S	NA
178	Dietary Supplement/Medications/Remedy	dehshuddhi	Lead	2	ppm	Amit Pharmacy	INDIA	UNITED STATES	05/17/2011	S	YES
179	Dietary Supplement/Medications/Remedy	dehshuddhi	Mercury	5	ppm	Amit Pharmacy	INDIA	UNITED STATES	05/17/2011	S	YES
180	Dietary Supplement/Medications/Remedy	bal sathi childrens capillary	Arsenic	Unknown	ppm	M/S. Vaidya Jagannath G. Dwivedi	INDIA	UNITED STATES	05/17/2011	S	NA
181	Dietary Supplement/Medications/Remedy	bal sathi childrens capillary	Lead	0.79	ppm	M/S. Vaidya Jagannath G. Dwivedi	INDIA	UNITED STATES	05/17/2011	S	YES
182	Dietary Supplement/Medications/Remedy	bal sathi childrens capillary	Mercury	0.1	ppm	M/S. Vaidya Jagannath G. Dwivedi	INDIA	UNITED STATES	05/17/2011	S	NO
183	Food-Spice	turmeric powder	Lead	Unknown	ppm	Unknown	INDIA	UNITED STATES	05/17/2011	S	NA
184	Food Other	chinese mushrooms	Lead	Unknown	ppm	Unknown	CHINA	UNITED STATES	05/20/2011	C	NA
185	Food Other	chinese yams	Lead	2.2	ppm	Unknown	CHINA	UNITED STATES	05/20/2011	C	YES
186	Food Other	chinese pearl barley	Lead	Unknown	ppm	Unknown	CHINA	UNITED STATES	05/20/2011	C	NA
187	Food Other	euryale seeds	Lead	Unknown	ppm	Unknown	CHINA	UNITED STATES	05/20/2011	C	NA
188	Food Other	dried lily bulb	Lead	Unknown	ppm	Unknown	CHINA	UNITED STATES	05/20/2011	C	NA
189	Food Other	dried enoki mushrooms	Lead	Unknown	ppm	Unknown	CHINA	UNITED STATES	05/20/2011	C	NA
190	Food Other	black cloud ears fungus	Lead	Unknown	ppm	Unknown	CHINA	UNITED STATES	05/20/2011	C	NA
191	Food Other	dried gingko nuts	Lead	Unknown	ppm	Unknown	CHINA	UNITED STATES	05/20/2011	C	NA
192	Toys/Children's Products	crayon	Lead	3.3	ppm	Unknown	CHINA	Unknown	05/24/2011	C	NO
193	Toys/Children's Products	crayon	Lead	2.1	ppm	Unknown	Unknown	Unknown	05/24/2011	C	NO
194	Food-Spice	epazote	Lead	Unknown	ppm	Unknown	Unknown	UNITED STATES	05/26/2011	A	NA
195	Food-Spice	chili pepper	Lead	0.48	ppm	Unknown	Unknown	MEXICO	05/26/2011	A	NO
196	Toys/Children's Products	nonhardening modeling sand	Lead	Unknown	ppm	Unknown	SWEDEN	UNITED STATES	05/26/2011	C	NA
197	Toys/Children's Products	red jurassic sand	Lead	1.3	ppm	Unknown	Unknown	UNITED STATES	05/26/2011	C	NO
198	Toys/Children's Products	plastic toy	Lead	Unknown	ppm	Jakks Pacific, Inc.	CHINA	UNITED STATES	06/01/2011	C	NA
199	Cosmetics	surma	Lead	300000	ppm	Unknown	INDIA	INDIA	06/01/2011	C	YES
200	Food-Spice	oregano	Lead	Unknown	ppm	Unknown	Unknown	UNITED STATES	06/02/2011	A	NA
201	Food-Spice	chili powder	Lead	Unknown	ppm	Unknown	Unknown	UNITED STATES	06/02/2011	A	NA
202	Food-Candy	laposse	Lead	Unknown	ppm	Elaborado	MEXICO	UNITED STATES	06/02/2011	C	NA
203	Food-Candy	paleton	Lead	Unknown	ppm	Coronado	MEXICO	UNITED STATES	06/02/2011	C	NA
204	Food-Spice	turmeric powder	Lead	580	ppm	Unknown	BANGLADESH	BANGLADESH	06/03/2011	A	YES
205	Food-Spice	cumin seeds	Lead	Unknown	ppm	Unknown	BANGLADESH	BANGLADESH	06/03/2011	A	NA
206	Food-Spice	coriander seeds	Lead	Unknown	ppm	Unknown	BANGLADESH	BANGLADESH	06/03/2011	A	NA
207	Food Other	lentil	Lead	Unknown	ppm	Unknown	BANGLADESH	BANGLADESH	06/03/2011	A	NA
208	Dietary Supplement/Medications/Remedy	calcium lactate granules	Lead	Unknown	ppm	NCPC	CHINA	CHINA	06/03/2011	C	NA
209	Food-Spice	chili peppers	Lead	Unknown	ppm	Unknown	Unknown	UNITED STATES	06/06/2011	A	NA
210	Food Other	bon bon bum	Lead	Unknown	ppm	Colombina	DOMINICAN REPUBLIC	DOMINICAN REPUBLIC	06/07/2011	C	NA
211	Food Other	el ocho	Lead	Unknown	ppm	Unknown	Unknown	DOMINICAN REPUBLIC	06/07/2011	C	NA
212	Food Other	potato chips	Lead	Unknown	ppm	Frito Lay Dominicana	DOMINICAN REPUBLIC	DOMINICAN REPUBLIC	06/07/2011	C	NA
213	Toys/Children's Products	toy	Lead	Unknown	ppm	Melissa & Doug LLC	Unknown	UNITED STATES	06/08/2011	C	NA
